,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
ID,63440,74437,75169,79473,80600,83363,84306,84333,84449,84465,85015,85090,85092,85093,85104,85136,85167,86010,86090,86159,86208,87105,87193,88076,88086,88091,88114,88174,88175,88191,89002,89008,89082,89128,89903,90030,90048,91061,91075,92008,92016,92041,92082,92162,92175,93012,93042,93050,93107,93147,93162,94090,94135,95016,95054,95077,95107,95203,96036,96067,96143,96146,96154,97034,97065,97097,97122,97156,98032,98053,98055,99142,99235,100034,100081,100086,100102,100105,100125,100175,100180,100235,101001,101007,101022,101068,101069,101101,101205,101206,102025,102030,102052,102059,102076,102163,102191,102199,102200,103108,103113,103189,103194,103707,103708,103709,103714,103715,103719,104001,104908
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150101,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150102,0,0,1,0,37,0,4,4,0,3,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,8,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
20150103,0,0,4,0,37,0,5,4,0,4,0,0,0,0,0,1,0,0,0,2,2,10,2,0,0,0,0,8,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,3,0,0,2,0,0,1,2,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
20150104,0,0,4,0,37,0,6,4,0,4,0,0,0,0,0,1,0,0,0,2,2,10,2,0,0,0,0,8,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,5,0,0,0,3,0,0,3,0,0,2,0,0,1,2,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
20150105,0,0,12,0,38,1,11,11,0,4,0,0,0,0,0,1,0,0,0,2,4,13,3,0,1,0,0,10,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,1,0,1,10,0,0,0,3,0,0,5,0,0,2,0,1,4,2,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,7,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
20150106,0,0,14,0,42,2,15,12,0,5,2,7,2,0,0,3,2,0,0,2,4,13,3,0,2,0,0,14,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,2,0,1,0,1,18,0,0,0,3,0,0,5,0,0,2,0,1,4,4,6,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,8,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
20150107,0,0,14,0,42,2,17,12,0,8,3,15,3,0,0,3,2,0,0,2,6,15,5,6,2,0,0,16,1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,2,0,1,0,3,18,0,0,0,3,0,0,6,0,0,2,0,1,4,5,9,8,0,0,0,0,0,1,2,0,10,0,0,0,0,0,0,0,0,0,0,12,8,0,3,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0
